,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
232,465695,2023-02-03,ISRG,254.67999267578125,254.67999267578125,Intuitive Surgical,Health Care,intuitive,https://app.outboundsales.io/api/logo/intuitive.com
233,467732,2023-02-03,IT,341.95001220703125,341.95001220703125,Gartner,Information Technology,gartner,https://app.outboundsales.io/api/logo/gartner.com
234,469769,2023-02-03,ITW,246.72999572753903,246.72999572753903,Illinois Tool Works,Industrials,illinois,https://app.outboundsales.io/api/logo/illinois.com
235,471806,2023-02-03,IVZ,20.040000915527344,20.040000915527344,Invesco,Financials,invesco,https://app.outboundsales.io/api/logo/invesco.com
236,473843,2023-02-03,J,125.5500030517578,125.5500030517578,Jacobs Engineering Group,Industrials,jacobs,https://app.outboundsales.io/api/logo/jacobs.com
237,475880,2023-02-03,JBHT,197.88999938964844,197.88999938964844,J. B. Hunt,Industrials,j.,https://app.outboundsales.io/api/logo/j.com
238,477917,2023-02-03,JCI,65.72000122070312,65.72000122070312,Johnson Controls,Industrials,johnson,https://app.outboundsales.io/api/logo/johnson.com
239,479954,2023-02-03,JKHY,180.6999969482422,180.6999969482422,Jack Henry & Associates,Information Technology,jack,https://app.outboundsales.io/api/logo/jack.com
240,481991,2023-02-03,JNJ,164.61000061035156,164.61000061035156,Johnson & Johnson,Health Care,johnson,https://app.outboundsales.io/api/logo/johnson.com
241,484028,2023-02-03,JNPR,30.729999542236328,30.729999542236328,Juniper Networks,Information Technology,juniper,https://app.outboundsales.io/api/logo/juniper.com
242,486065,2023-02-03,JPM,141.08999633789062,141.08999633789062,JPMorgan Chase,Financials,jpmorgan,https://app.outboundsales.io/api/logo/jpmorgan.com
243,488102,2023-02-03,K,67.61000061035156,67.61000061035156,Kellogg's,Consumer Staples,kellogg's,https://app.outboundsales.io/api/logo/kellogg.com
244,490139,2023-02-03,KEY,20.020000457763672,20.020000457763672,KeyCorp,Financials,keycorp,https://app.outboundsales.io/api/logo/keycorp.com
245,492176,2023-02-03,KEYS,181.3999938964844,181.3999938964844,Keysight Technologies,Information Technology,keysight,https://app.outboundsales.io/api/logo/keysight.com
246,494087,2023-02-03,KHC,39.380001068115234,39.380001068115234,Kraft Heinz,Consumer Staples,kraft,https://app.outboundsales.io/api/logo/kraft.com
247,496124,2023-02-03,KIM,22.530000686645508,22.530000686645508,Kimco Realty,Real Estate,kimco,https://app.outboundsales.io/api/logo/kimco.com
248,498161,2023-02-03,KLAC,408.2699890136719,408.2699890136719,KLA Corporation,Information Technology,kla,https://app.outboundsales.io/api/logo/kla.com
249,500198,2023-02-03,KMB,131.25999450683594,131.25999450683594,Kimberly-Clark,Consumer Staples,kimberly-clark,https://app.outboundsales.io/api/logo/kimberly.com
250,502235,2023-02-03,KMI,18.280000686645508,18.280000686645508,Kinder Morgan,Energy,kinder,https://app.outboundsales.io/api/logo/kinder.com
251,504272,2023-02-03,KMX,78.19000244140625,78.19000244140625,CarMax,Consumer Discretionary,carmax,https://app.outboundsales.io/api/logo/carmax.com
252,506309,2023-02-03,KO,59.83000183105469,59.83000183105469,Coca-Cola Company,Consumer Staples,coca-cola,https://app.outboundsales.io/api/logo/coca.com
253,508346,2023-02-03,KR,44.41999816894531,44.41999816894531,Kroger,Consumer Staples,kroger,https://app.outboundsales.io/api/logo/kroger.com
254,510383,2023-02-03,L,60.09999847412109,60.09999847412109,Loews Corporation,Financials,loews,https://app.outboundsales.io/api/logo/loews.com
255,512420,2023-02-03,LDOS,98.05999755859376,98.05999755859376,Leidos,Industrials,leidos,https://app.outboundsales.io/api/logo/leidos.com
256,514457,2023-02-03,LEN,104.80999755859376,104.80999755859376,Lennar,Consumer Discretionary,lennar,https://app.outboundsales.io/api/logo/lennar.com
257,516494,2023-02-03,LH,249.33999633789065,249.33999633789065,LabCorp,Health Care,labcorp,https://app.outboundsales.io/api/logo/labcorp.com
258,518531,2023-02-03,LHX,210.9499969482422,210.9499969482422,L3Harris Technologies,Industrials,l3harris,https://app.outboundsales.io/api/logo/l3harris.com
259,520568,2023-02-03,LIN,323.6000061035156,323.6000061035156,Linde,Materials,linde,https://app.outboundsales.io/api/logo/linde.com
260,522605,2023-02-03,LKQ,57.47999954223633,57.47999954223633,LKQ Corporation,Consumer Discretionary,lkq,https://app.outboundsales.io/api/logo/lkq.com
261,524642,2023-02-03,LLY,339.0799865722656,339.0799865722656,Eli Lilly & Co,Health Care,eli,https://app.outboundsales.io/api/logo/eli.com
262,526679,2023-02-03,LMT,459.0799865722656,459.0799865722656,Lockheed Martin,Industrials,lockheed,https://app.outboundsales.io/api/logo/lockheed.com
263,528716,2023-02-03,LNC,35.27000045776367,35.27000045776367,Lincoln National,Financials,lincoln,https://app.outboundsales.io/api/logo/lincoln.com
264,530753,2023-02-03,LNT,53.34000015258789,53.34000015258789,Alliant Energy,Utilities,alliant,https://app.outboundsales.io/api/logo/alliant.com
265,532790,2023-02-03,LOW,215.97000122070312,215.97000122070312,Lowe's,Consumer Discretionary,lowe's,https://app.outboundsales.io/api/logo/lowe.com
266,534827,2023-02-03,LRCX,529.25,529.25,Lam Research,Information Technology,lam,https://app.outboundsales.io/api/logo/lam.com
267,536864,2023-02-03,LUMN,5.260000228881836,5.260000228881836,Lumen Technologies,Communication Services,lumen,https://app.outboundsales.io/api/logo/lumen.com
268,538901,2023-02-03,LUV,36.34999847412109,36.34999847412109,Southwest Airlines,Industrials,southwest,https://app.outboundsales.io/api/logo/southwest.com
269,540938,2023-02-03,LVS,58.08000183105469,58.08000183105469,Las Vegas Sands,Consumer Discretionary,las,https://app.outboundsales.io/api/logo/las.com
270,542506,2023-02-03,LW,98.12000274658205,98.12000274658205,Lamb Weston,Consumer Staples,lamb,https://app.outboundsales.io/api/logo/lamb.com
271,544543,2023-02-03,LYB,98.1500015258789,98.1500015258789,LyondellBasell,Materials,lyondellbasell,https://app.outboundsales.io/api/logo/lyondellbasell.com
272,546580,2023-02-03,LYV,79.80000305175781,79.80000305175781,Live Nation Entertainment,Communication Services,live,https://app.outboundsales.io/api/logo/live.com
273,548617,2023-02-03,MA,373.9100036621094,373.9100036621094,Mastercard,Information Technology,mastercard,https://app.outboundsales.io/api/logo/mastercard.com
274,550654,2023-02-03,MAA,173.0500030517578,173.0500030517578,Mid-America Apartments,Real Estate,mid-america,https://app.outboundsales.io/api/logo/mid.com
275,552691,2023-02-03,MAR,174.42999267578125,174.42999267578125,Marriott International,Consumer Discretionary,marriott,https://app.outboundsales.io/api/logo/marriott.com
276,554728,2023-02-03,MAS,55.38999938964844,55.38999938964844,Masco,Industrials,masco,https://app.outboundsales.io/api/logo/masco.com
277,556765,2023-02-03,MCD,264.2300109863281,264.2300109863281,McDonald's,Consumer Discretionary,mcdonald's,https://app.outboundsales.io/api/logo/mcdonald.com
278,558802,2023-02-03,MCHP,85.33999633789062,85.33999633789062,Microchip Technology,Information Technology,microchip,https://app.outboundsales.io/api/logo/microchip.com
279,560839,2023-02-03,MCK,362.5799865722656,362.5799865722656,McKesson Corporation,Health Care,mckesson,https://app.outboundsales.io/api/logo/mckesson.com
280,562876,2023-02-03,MCO,324.3599853515625,324.3599853515625,Moody's Corporation,Financials,moody's,https://app.outboundsales.io/api/logo/moody.com
281,564913,2023-02-03,MDLZ,65.91000366210938,65.91000366210938,Mondelez International,Consumer Staples,mondelez,https://app.outboundsales.io/api/logo/mondelez.com
